Time,Pack Amperage (Current)
Thu Oct 17 18:28:44 CST 2024,7.100000
Thu Oct 17 18:28:44 CST 2024,4.700000
Thu Oct 17 18:28:44 CST 2024,9.500000
Thu Oct 17 18:28:44 CST 2024,14.400000
Thu Oct 17 18:28:44 CST 2024,16.100000
Thu Oct 17 18:28:44 CST 2024,17.400000
Thu Oct 17 18:28:44 CST 2024,16.600000
Thu Oct 17 18:28:44 CST 2024,14.700000
Thu Oct 17 18:28:45 CST 2024,5.700000
Thu Oct 17 18:28:45 CST 2024,4.000000
Thu Oct 17 18:28:45 CST 2024,-4.000000
Thu Oct 17 18:28:45 CST 2024,-4.900000
Thu Oct 17 18:28:45 CST 2024,-4.800000
Thu Oct 17 18:28:45 CST 2024,-4.600000
Thu Oct 17 18:28:45 CST 2024,-4.400000
Thu Oct 17 18:28:45 CST 2024,-4.400000
Thu Oct 17 18:28:45 CST 2024,-4.600000
